ID,LowFault,LowWarning,HighWarning,HighFault
101,-4000000,-3999999,3999999,4000000
102,-4000000,-3999999,3999999,4000000
103,-4000000,-3999999,3999999,4000000
104,-4000000,-3999999,3999999,4000000
105,-4000000,-3999999,3999999,4000000
106,-4000000,-3999999,3999999,4000000
107,-4000000,-3999999,3999999,4000000
108,-4000000,-3999999,3999999,4000000
109,-4000000,-3999999,3999999,4000000
110,-4000000,-3999999,3999999,4000000
111,-4000000,-3999999,3999999,4000000
112,-4000000,-3999999,3999999,4000000
113,-4000000,-3999999,3999999,4000000
114,-4000000,-3999999,3999999,4000000
115,-4000000,-3999999,3999999,4000000
116,-4000000,-3999999,3999999,4000000
117,-4000000,-3999999,3999999,4000000
118,-4000000,-3999999,3999999,4000000
119,-4000000,-3999999,3999999,4000000
120,-4000000,-3999999,3999999,4000000
121,-4000000,-3999999,3999999,4000000
122,-4000000,-3999999,3999999,4000000
123,-4000000,-3999999,3999999,4000000
124,-4000000,-3999999,3999999,4000000
125,-4000000,-3999999,3999999,4000000
126,-4000000,-3999999,3999999,4000000
127,-4000000,-3999999,3999999,4000000
128,-4000000,-3999999,3999999,4000000
129,-4000000,-3999999,3999999,4000000
130,-4000000,-3999999,3999999,4000000
131,-4000000,-3999999,3999999,4000000
132,-4000000,-3999999,3999999,4000000
133,-4000000,-3999999,3999999,4000000
134,-4000000,-3999999,3999999,4000000
135,-4000000,-3999999,3999999,4000000
136,-4000000,-3999999,3999999,4000000
137,-4000000,-3999999,3999999,4000000
138,-4000000,-3999999,3999999,4000000
139,-4000000,-3999999,3999999,4000000
140,-4000000,-3999999,3999999,4000000
141,-4000000,-3999999,3999999,4000000
142,-4000000,-3999999,3999999,4000000
143,-4000000,-3999999,3999999,4000000
207,-4000000,-3999999,3999999,4000000
208,-4000000,-3999999,3999999,4000000
209,-4000000,-3999999,3999999,4000000
210,-4000000,-3999999,3999999,4000000
211,-4000000,-3999999,3999999,4000000
212,-4000000,-3999999,3999999,4000000
214,-4000000,-3999999,3999999,4000000
215,-4000000,-3999999,3999999,4000000
216,-4000000,-3999999,3999999,4000000
217,-4000000,-3999999,3999999,4000000
218,-4000000,-3999999,3999999,4000000
219,-4000000,-3999999,3999999,4000000
220,-4000000,-3999999,3999999,4000000
221,-4000000,-3999999,3999999,4000000
222,-4000000,-3999999,3999999,4000000
223,-4000000,-3999999,3999999,4000000
224,-4000000,-3999999,3999999,4000000
225,-4000000,-3999999,3999999,4000000
227,-4000000,-3999999,3999999,4000000
228,-4000000,-3999999,3999999,4000000
229,-4000000,-3999999,3999999,4000000
230,-4000000,-3999999,3999999,4000000
231,-4000000,-3999999,3999999,4000000
232,-4000000,-3999999,3999999,4000000
233,-4000000,-3999999,3999999,4000000
234,-4000000,-3999999,3999999,4000000
235,-4000000,-3999999,3999999,4000000
236,-4000000,-3999999,3999999,4000000
237,-4000000,-3999999,3999999,4000000
238,-4000000,-3999999,3999999,4000000
239,-4000000,-3999999,3999999,4000000
240,-4000000,-3999999,3999999,4000000
241,-4000000,-3999999,3999999,4000000
242,-4000000,-3999999,3999999,4000000
243,-4000000,-3999999,3999999,4000000
301,-4000000,-3999999,3999999,4000000
302,-4000000,-3999999,3999999,4000000
303,-4000000,-3999999,3999999,4000000
304,-4000000,-3999999,3999999,4000000
305,-4000000,-3999999,3999999,4000000
306,-4000000,-3999999,3999999,4000000
307,-4000000,-3999999,3999999,4000000
308,-4000000,-3999999,3999999,4000000
309,-4000000,-3999999,3999999,4000000
310,-4000000,-3999999,3999999,4000000
311,-4000000,-3999999,3999999,4000000
312,-4000000,-3999999,3999999,4000000
313,-4000000,-3999999,3999999,4000000
314,-4000000,-3999999,3999999,4000000
315,-4000000,-3999999,3999999,4000000
316,-4000000,-3999999,3999999,4000000
317,-4000000,-3999999,3999999,4000000
318,-4000000,-3999999,3999999,4000000
319,-4000000,-3999999,3999999,4000000
320,-4000000,-3999999,3999999,4000000
321,-4000000,-3999999,3999999,4000000
322,-4000000,-3999999,3999999,4000000
323,-4000000,-3999999,3999999,4000000
324,-4000000,-3999999,3999999,4000000
325,-4000000,-3999999,3999999,4000000
326,-4000000,-3999999,3999999,4000000
327,-4000000,-3999999,3999999,4000000
328,-4000000,-3999999,3999999,4000000
329,-4000000,-3999999,3999999,4000000
330,-4000000,-3999999,3999999,4000000
331,-4000000,-3999999,3999999,4000000
332,-4000000,-3999999,3999999,4000000
333,-4000000,-3999999,3999999,4000000
334,-4000000,-3999999,3999999,4000000
335,-4000000,-3999999,3999999,4000000
336,-4000000,-3999999,3999999,4000000
337,-4000000,-3999999,3999999,4000000
338,-4000000,-3999999,3999999,4000000
339,-4000000,-3999999,3999999,4000000
340,-4000000,-3999999,3999999,4000000
341,-4000000,-3999999,3999999,4000000
342,-4000000,-3999999,3999999,4000000
343,-4000000,-3999999,3999999,4000000
407,-4000000,-3999999,3999999,4000000
408,-4000000,-3999999,3999999,4000000
409,-4000000,-3999999,3999999,4000000
410,-4000000,-3999999,3999999,4000000
411,-4000000,-3999999,3999999,4000000
412,-4000000,-3999999,3999999,4000000
414,-4000000,-3999999,3999999,4000000
415,-4000000,-3999999,3999999,4000000
416,-4000000,-3999999,3999999,4000000
417,-4000000,-3999999,3999999,4000000
418,-4000000,-3999999,3999999,4000000
419,-4000000,-3999999,3999999,4000000
420,-4000000,-3999999,3999999,4000000
421,-4000000,-3999999,3999999,4000000
422,-4000000,-3999999,3999999,4000000
423,-4000000,-3999999,3999999,4000000
424,-4000000,-3999999,3999999,4000000
425,-4000000,-3999999,3999999,4000000
427,-4000000,-3999999,3999999,4000000
428,-4000000,-3999999,3999999,4000000
429,-4000000,-3999999,3999999,4000000
430,-4000000,-3999999,3999999,4000000
431,-4000000,-3999999,3999999,4000000
432,-4000000,-3999999,3999999,4000000
433,-4000000,-3999999,3999999,4000000
434,-4000000,-3999999,3999999,4000000
435,-4000000,-3999999,3999999,4000000
436,-4000000,-3999999,3999999,4000000
437,-4000000,-3999999,3999999,4000000
438,-4000000,-3999999,3999999,4000000
439,-4000000,-3999999,3999999,4000000
440,-4000000,-3999999,3999999,4000000
441,-4000000,-3999999,3999999,4000000
442,-4000000,-3999999,3999999,4000000
443,-4000000,-3999999,3999999,4000000